"Category","Fuel","Unit","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Coal","Bituminous","kt CO2/PJ",88.8,88.82,88.83,88.85,88.87,88.88,88.9,88.92,88.93,88.95,88.97,88.98,89,89.02,89.03,89.05,89.07,89.08,89.1,89.1,89.1,89.1,89.1,89.1,89.1,89.1,89.1,89.1,89.1
"Coal","Lignite","kt CO2/PJ",95.2,95.08,94.97,94.85,94.73,94.62,94.5,94.38,94.27,94.15,94.03,93.92,93.8,93.68,93.57,93.45,93.33,93.22,93.1,93.1,93.1,93.1,93.1,93.1,93.1,93.1,93.1,93.1,93.1
"Coal","Sub-Bituminous","kt CO2/PJ",91.2,91.24,91.29,91.33,91.38,91.42,91.47,91.51,91.56,91.6,91.64,91.69,91.73,91.78,91.82,91.87,91.91,91.96,92,92,92,92,92,92,92,92,92,92,92
"Liquid Fuels","Aviation Gasoline","kt CO2/PJ",65.89,65.89,65.89,65.89,65.89,65.89,65.89,65.89,65.89,65.89,65.89,65.89,65.89,65.89,65.89,65.89,65.89,65.89,65.89,65.89,65.89,65.89,65.89,65.89,65.89,65.89,65.89,65.89,65.89
"Liquid Fuels","Biodiesel","kt CO2/PJ",67.26,67.26,67.26,67.26,67.26,67.26,67.26,67.26,67.26,67.26,67.26,67.26,67.26,67.26,67.26,67.26,67.26,67.26,67.26,67.26,67.26,67.26,67.26,67.26,67.26,67.26,67.26,67.26,67.26
"Liquid Fuels","Bioethanol","kt CO2/PJ",64.2,64.2,64.2,64.2,64.2,64.2,64.2,64.2,64.2,64.2,64.2,64.2,64.2,64.2,64.2,64.2,64.2,64.2,64.2,64.2,64.2,64.2,64.2,64.2,64.2,64.2,64.2,64.2,64.2
"Liquid Fuels","Bitumen","kt CO2/PJ",76.85,76.85,76.85,76.84,76.85,76.85,76.85,76.87,76.97,76.95,76.97,76.97,77.02,76.96,76.87,76.85,76.86,76.85,76.85,76.9,76.9,76.98,76.97,77,77,76.94,76.9,76.96,76.96
"Liquid Fuels","Bunker Fuel Oil","kt CO2/PJ",73.86,73.89,73.85,73.76,73.88,73.9,73.92,74.23,73.67,73.66,73.79,73.72,73.66,73.7,73.67,73.69,74.01,73.98,74.24,74.23,74.09,74.12,73.82,73.83,74.04,74.01,73.95,74.03,74.03
"Liquid Fuels","Diesel","kt CO2/PJ",69.14,69.22,69.15,69.19,69.17,69.68,69.84,69.69,69.51,69.77,69.69,69.53,69.58,69.6,69.67,69.46,69.32,69.39,69.53,69.55,69.64,69.64,69.73,69.57,69.58,69.69,69.31,69.37,69.37
"Liquid Fuels","Exported Naphtha","kt CO2/PJ",63.48,64.38,66.2,66.01,66.25,63.5,63.91,63.5,63.64,63.91,63.91,63.91,63.33,63.51,63.54,63.68,63.4,63.51,63.4,63.51,63.36,63.36,63.33,63.35,63.31,63.28,58.7,63.27,63.27
"Liquid Fuels","Heavy Fuel Oil","kt CO2/PJ",73.4,73.52,73.49,73.55,73.49,73.5,73.58,73.77,73.41,73.36,73.4,73.39,73.5,73.42,73.46,73.3,73.75,73.64,73.9,73.84,73.68,73.84,73.49,73.46,73.72,73.63,73.59,73.64,73.64
"Liquid Fuels","Jet Kerosene","kt CO2/PJ",67.94,67.9,67.83,67.96,68.03,68.12,68.28,68.11,68.26,68.2,68.43,68.32,68.2,68.39,68.34,68.23,68.4,68.4,68.53,68.59,68.57,68.53,68.56,68.38,68.39,68.53,68.22,68.27,68.27
"Liquid Fuels","Light Fuel Oil","kt CO2/PJ",72.03,71.8,71.6,71.63,71.51,71.97,72.07,72.25,71.97,72.22,72.31,72.14,72.49,72.65,72.32,72.19,72.97,72.85,72.86,72.78,72.91,72.85,72.88,72.5,72.84,72.91,72.3,72.88,72.88
"Liquid Fuels","LPG","kt CO2/PJ",60.43,60.43,60.43,60.43,60.43,60.43,60.43,60.43,60.43,60.43,60.43,60.43,60.43,60.43,60.43,60.43,60.43,60.43,60.43,60.43,60.43,60.43,60.43,60.43,60.43,60.43,60.43,60.43,60.43
"Liquid Fuels","Premium Petrol","kt CO2/PJ",65.87,66.1,66.08,66.39,66.33,66.45,66.95,66.91,67.04,66.94,66.96,66.94,66.98,67.09,66.95,66.84,66.78,66.78,66.91,66.82,66.79,66.79,66.74,66.72,66.82,66.79,66.94,66.98,66.98
"Liquid Fuels","Regular Petrol","kt CO2/PJ",65.94,66.1,66.22,66.22,66.3,66.22,66.22,66.1,66.28,66.25,66.26,66.16,66.13,66.3,66.35,66.35,66.38,66.35,66.48,66.57,66.59,66.55,66.56,66.51,66.61,66.58,66.7,66.68,66.68
"Natural Gas","National Weighted Average","kt CO2/PJ",53.15,52.97,52.92,52.67,52.5,52.32,52.47,52.49,52.48,52.1,52.27,52.5,52.65,52.61,52.72,52.7,52.73,53.48,53.56,53.02,53.28,53.46,53.46,53.41,53.73,53.87,54.14,54.07,54.02
